model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
com-friendster,124836180,1806067135,trim,32,1251618.464,124836180,11301,124836180,5138513922,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:44:45
twitter,41354195,1440030213,trim,32,1035.413,4157028,6,4157028,7927436,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:45:57
twitter_mpi,52579683,1963263821,trim,32,1250.984,9213375,7,9213375,11736376,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:47:36
wiki-link-en,12150977,378142420,trim,32,202.425,37099,4,37099,1855684,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:47:50
com-friendster,124836180,1806067135,ac4trim,32,59290.994,124836180,-1,124836180,1691783634,0,0,0,0,0,4096,698,100,100,2021-06-02.19:50:40
twitter,41354195,1440030213,ac4trim,32,491.127,4157028,-1,4157028,3626670,0,0,0,0,0,4096,293,100,100,2021-06-02.19:51:49
twitter_mpi,52579683,1963263821,ac4trim,32,374.49,9213375,-1,9213375,3411359,0,0,0,0,0,4096,15218,100,100,2021-06-02.19:53:34
wiki-link-en,12150977,378142420,ac4trim,32,16.501,37099,-1,37099,25355,0,0,0,0,0,4096,33,100,100,2021-06-02.19:53:47
com-friendster,124836180,1806067135,fasttrim,1,74483.119,124836180,-1,124836180,1930903315,0,0,0,0,0,4096,641,100,100,2021-06-02.19:56:55
twitter,41354195,1440030213,fasttrim,1,7240.453,4157028,-1,4157028,43257463,0,0,0,0,0,4096,127,100,100,2021-06-02.19:58:14
twitter_mpi,52579683,1963263821,fasttrim,1,5442.927,9213375,-1,9213375,54031166,0,0,0,0,0,4096,327,100,100,2021-06-02.19:59:55
wiki-link-en,12150977,378142420,fasttrim,1,1050.047,37099,-1,37099,12152175,0,0,0,0,0,4096,6,100,100,2021-06-02.20:00:10
com-friendster,124836180,1806067135,trim,1,9378944.601,124836180,13973,124836180,1.6868E+11,0,0,0,0,0,4096,-1,100,100,2021-06-02.22:38:21
twitter,41354195,1440030213,trim,1,5637.376,4157028,6,4157028,229289674,0,0,0,0,0,4096,-1,100,100,2021-06-02.22:39:40
twitter_mpi,52579683,1963263821,trim,1,6824.269,9213375,7,9213375,314329767,0,0,0,0,0,4096,-1,100,100,2021-06-02.22:41:25
wiki-link-en,12150977,378142420,trim,1,740.837,37099,4,37099,48494302,0,0,0,0,0,4096,-1,100,100,2021-06-02.22:41:40
com-friendster,124836180,1806067135,ac4trim,1,66964.899,124836180,-1,124836180,1806067135,0,0,0,0,0,4096,775,100,100,2021-06-02.22:44:39
twitter,41354195,1440030213,ac4trim,1,2122.557,4157028,-1,4157028,93811445,0,0,0,0,0,4096,288,100,100,2021-06-02.22:45:50
