model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter,41354195,1296028959,fasttrim,16,1327.167000,4446697,-1,4446697,2660575,0,0,0,0,0,4096,280,100,90,2021-06-13.08:56:36
twitter_mpi,5254949,195306875,fasttrim,16,206.718000,2966452,-1,2966452,183740,0,0,0,0,0,4096,50,10,100,2021-06-13.08:58:30
twitter_mpi,52579683,196322156,fasttrim,16,715.444000,30081985,-1,30081985,1803843,0,0,0,0,0,4096,219,100,10,2021-06-13.09:00:50
twitter_mpi,10517008,393477826,fasttrim,16,406.636000,4591553,-1,4591553,434493,0,0,0,0,0,4096,156,20,100,2021-06-13.09:02:50
twitter_mpi,52579683,392658170,fasttrim,16,903.392000,23509503,-1,23509503,2214859,0,0,0,0,0,4096,418,100,20,2021-06-13.09:05:31
twitter_mpi,15776846,597039267,fasttrim,16,576.216000,5804615,-1,5804615,686240,0,0,0,0,0,4096,19,30,100,2021-06-13.09:07:38
twitter_mpi,52579683,588985448,fasttrim,16,1002.405000,19927627,-1,19927627,2422054,0,0,0,0,0,4096,634,100,30,2021-06-13.09:10:37
twitter_mpi,21034878,784746012,fasttrim,16,604.999000,6911141,-1,6911141,995430,0,0,0,0,0,4096,793,40,100,2021-06-13.09:12:48
twitter_mpi,52579683,785328664,fasttrim,16,1138.445000,17386126,-1,17386126,2472949,0,0,0,0,0,4096,818,100,40,2021-06-13.09:16:01
twitter_mpi,26285620,981016511,fasttrim,16,920.437000,7647237,-1,7647237,1312119,0,0,0,0,0,4096,991,50,100,2021-06-13.09:18:14
twitter_mpi,52579683,981641402,fasttrim,16,1305.422000,15377251,-1,15377251,2555012,0,0,0,0,0,4096,957,100,50,2021-06-13.09:21:36
twitter_mpi,31555340,1178495607,fasttrim,16,1139.220000,8178433,-1,8178433,1649118,0,0,0,0,0,4096,48,60,100,2021-06-13.09:24:06
twitter_mpi,52579683,1177982239,fasttrim,16,1408.451000,13779900,-1,13779900,2607585,0,0,0,0,0,4096,523,100,60,2021-06-13.09:27:57
twitter_mpi,36810205,1357739676,fasttrim,16,1523.865000,8691591,-1,8691591,2063511,0,0,0,0,0,4096,1335,70,100,2021-06-13.09:30:30
twitter_mpi,52579683,1374222393,fasttrim,16,1550.581000,12393333,-1,12393333,2682105,0,0,0,0,0,4096,1298,100,70,2021-06-13.09:34:34
twitter_mpi,42064901,1578985792,fasttrim,16,1549.306000,8881022,-1,8881022,2411917,0,0,0,0,0,4096,362,80,100,2021-06-13.09:36:54
twitter_mpi,52579683,1570626263,fasttrim,16,1671.881000,11211224,-1,11211224,2802111,0,0,0,0,0,4096,1493,100,80,2021-06-13.09:41:15
twitter_mpi,47323779,1771897839,fasttrim,16,1634.874000,9106552,-1,9106552,2909844,0,0,0,0,0,4096,440,90,100,2021-06-13.09:43:36
twitter_mpi,52579683,1766890117,fasttrim,16,1795.899000,10155762,-1,10155762,2932247,0,0,0,0,0,4096,368,100,90,2021-06-13.09:48:10
com-friendster,12485752,180620964,ac4trim,16,1757.636000,12485752,-1,12485752,13900664,0,0,0,0,0,4096,306,10,100,2021-06-13.09:50:18
com-friendster,124836180,180587586,ac4trim,16,70065.656000,124836180,-1,124836180,140018099,0,0,0,0,0,4096,442,100,10,2021-06-13.09:54:09
com-friendster,24969566,361012225,ac4trim,16,4377.251000,24969566,-1,24969566,61343479,0,0,0,0,0,4096,453,20,100,2021-06-13.09:56:24
com-friendster,124836180,361239299,ac4trim,16,50347.421000,124836180,-1,124836180,308357592,0,0,0,0,0,4096,577,100,20,2021-06-13.10:00:26
com-friendster,37456015,542577717,ac4trim,16,6992.054000,37456015,-1,37456015,144064476,0,0,0,0,0,4096,398,30,100,2021-06-13.10:02:38
com-friendster,124836180,541815176,ac4trim,16,35539.957000,124836180,-1,124836180,478300256,0,0,0,0,0,4096,696,100,30,2021-06-13.10:06:56
com-friendster,49933483,722658073,ac4trim,16,43478.140000,49933483,-1,49933483,260056274,0,0,0,0,0,4096,441,40,100,2021-06-13.10:10:11
com-friendster,124836180,722445040,ac4trim,16,28098.233000,124836180,-1,124836180,651621682,0,0,0,0,0,4096,578,100,40,2021-06-13.10:14:55
com-friendster,62412123,903176465,ac4trim,16,55936.408000,62412123,-1,62412123,411548479,0,0,0,0,0,4096,514,50,100,2021-06-13.10:18:33
com-friendster,124836180,903044965,ac4trim,16,42936.770000,124836180,-1,124836180,823456303,0,0,0,0,0,4096,563,100,50,2021-06-13.10:24:05
com-friendster,74904080,1083891089,ac4trim,16,46134.897000,74904080,-1,74904080,598425406,0,0,0,0,0,4096,544,60,100,2021-06-13.10:27:41
com-friendster,124836180,1083624679,ac4trim,16,52265.827000,124836180,-1,124836180,996993206,0,0,0,0,0,4096,534,100,60,2021-06-13.10:33:55
com-friendster,87378199,1264343371,ac4trim,16,30635.603000,87378199,-1,87378199,820047437,0,0,0,0,0,4096,584,70,100,2021-06-13.10:36:48
com-friendster,124836180,1264242474,ac4trim,16,64798.417000,124836180,-1,124836180,1171148511,0,0,0,0,0,4096,631,100,70,2021-06-13.10:43:48
com-friendster,99865603,1444848829,ac4trim,16,56983.328000,99865603,-1,99865603,1076212775,0,0,0,0,0,4096,645,80,100,2021-06-13.10:47:50
com-friendster,124836180,1444836292,ac4trim,16,74154.457000,124836180,-1,124836180,1345446423,0,0,0,0,0,4096,703,100,80,2021-06-13.10:55:32
com-friendster,112347939,1625329281,ac4trim,16,49136.090000,112347939,-1,112347939,1368915745,0,0,0,0,0,4096,572,90,100,2021-06-13.10:58:51
com-friendster,124836180,1625452048,ac4trim,16,50078.537000,124836180,-1,124836180,1521643180,0,0,0,0,0,4096,607,100,90,2021-06-13.11:06:45
twitter,4135594,144251140,ac4trim,16,186.979000,2330034,-1,2330034,198675,0,0,0,0,0,4096,125,10,100,2021-06-13.11:08:06
twitter,41354195,144009079,ac4trim,16,456.718000,24230973,-1,24230973,2086166,0,0,0,0,0,4096,178,100,10,2021-06-13.11:09:54
twitter,8267411,289938140,ac4trim,16,27300.800000,3031578,-1,3031578,499864,0,0,0,0,0,4096,178,20,100,2021-06-13.11:11:47
