model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
baidu,2141301,17794839,trim,2,102.909,598975,9,598975,598975,598975,0,0,2019-11-05.12:30:24
-bakery.6,11845035,40400559,trim,2,1883.973,2636196,46,2636196,2636196,2636196,0,0,2019-11-05.12:30:27
-cambridge.6,3354295,9483191,trim,2,586.897,8412,65,8412,8412,8412,0,0,2019-11-05.12:30:28
dbpedia,3966925,13820853,trim,2,1815.245,1437127,114,1437127,1437127,1437127,0,0,2019-11-05.12:30:31
dbpedia-link,18268993,172183984,trim,2,533.09,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.12:30:37
-leader-filters.7,26302351,91692858,trim,2,2638.033,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.12:30:43
livej,4847571,68993773,trim,2,304.631,592952,8,592952,592952,592952,0,0,2019-11-05.12:30:46
patent,3774768,16518948,trim,2,334.012,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.12:30:47
pokec,1632804,30622564,trim,2,58.136,212042,5,212042,212042,212042,0,0,2019-11-05.12:30:48
random,10000001,100000000,trim,2,194.895,455,2,455,455,455,0,0,2019-11-05.12:30:52
rmat,9999994,100000000,trim,2,516.891,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.12:30:57
ssca2,1048577,157877986,trim,2,23.177,11,2,11,11,11,0,0,2019-11-05.12:31:01
wiki_link_en,12150977,378142420,trim,2,407.246,37102,4,37102,37102,37102,0,0,2019-11-05.12:31:12
wiki-links,5710993,130160392,trim,2,211.704,7415,4,7415,7415,7415,0,0,2019-11-05.12:31:16
wiki_talk_en,2987536,24981163,trim,2,38.466,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.12:31:19
youtube-links,1138500,4942297,trim,2,21.737,600414,6,600414,600414,600414,0,0,2019-11-05.12:31:19
baidu,2141301,17794839,ufscc,2,560.983,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.12:31:20
-bakery.6,11845035,40400559,ufscc,2,1360.802,-1,-1,-1,2636212,2636197,0,0,2019-11-05.12:31:23
-cambridge.6,3354295,9483191,ufscc,2,303.058,-1,-1,-1,8413,8412,0,0,2019-11-05.12:31:24
dbpedia,3966925,13820853,ufscc,2,309.189,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.12:31:25
dbpedia-link,18268993,172183984,ufscc,2,6065.678,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.12:31:37
-leader-filters.7,26302351,91692858,ufscc,2,1088.089,-1,-1,-1,26302351,26302351,0,0,2019-11-05.12:31:41
livej,4847571,68993773,ufscc,2,3119.696,-1,-1,-1,971232,947776,16875,3280,2019-11-05.12:31:47
patent,3774768,16518948,ufscc,2,686.017,-1,-1,-1,3774768,3774768,0,0,2019-11-05.12:31:48
pokec,1632804,30622564,ufscc,2,1519.112,-1,-1,-1,325893,323799,1904,151,2019-11-05.12:31:51
random,10000001,100000000,ufscc,2,10138.402,-1,-1,-1,877,876,0,0,2019-11-05.12:32:05
rmat,9999994,100000000,ufscc,2,9019.235,-1,-1,-1,2247072,2247071,0,0,2019-11-05.12:32:18
ssca2,1048577,157877986,ufscc,2,1524.735,-1,-1,-1,31,29,1,0,2019-11-05.12:32:23
wiki_link_en,12150977,378142420,ufscc,2,9330.693,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.12:32:43
wiki-links,5710993,130160392,ufscc,2,4503.671,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.12:32:52
wiki_talk_en,2987536,24981163,ufscc,2,529.549,-1,-1,-1,2736716,2735641,992,58,2019-11-05.12:32:55
youtube-links,1138500,4942297,ufscc,2,262.641,-1,-1,-1,613423,602053,8696,1709,2019-11-05.12:32:55
baidu,2141301,17794839,fasttrim,4,28.856,598975,-1,598975,0,0,0,0,2019-11-05.12:32:56
-bakery.6,11845035,40400559,fasttrim,4,156.548,2636196,-1,2636196,0,0,0,0,2019-11-05.12:32:57
-cambridge.6,3354295,9483191,fasttrim,4,42.581,8412,-1,8412,0,0,0,0,2019-11-05.12:32:58
dbpedia,3966925,13820853,fasttrim,4,42.217,1437127,-1,1437127,0,0,0,0,2019-11-05.12:32:59
dbpedia-link,18268993,172183984,fasttrim,4,336.474,8143619,-1,8143619,0,0,0,0,2019-11-05.12:33:05
-leader-filters.7,26302351,91692858,fasttrim,4,384.184,26302351,-1,26302351,0,0,0,0,2019-11-05.12:33:08
livej,4847571,68993773,fasttrim,4,119.568,592952,-1,592952,0,0,0,0,2019-11-05.12:33:11
patent,3774768,16518948,fasttrim,4,378.497,3774768,-1,3774768,0,0,0,0,2019-11-05.12:33:12
pokec,1632804,30622564,fasttrim,4,28.389,212042,-1,212042,0,0,0,0,2019-11-05.12:33:13
random,10000001,100000000,fasttrim,4,345.654,455,-1,455,0,0,0,0,2019-11-05.12:33:17
rmat,9999994,100000000,fasttrim,4,308.443,2203713,-1,2203713,0,0,0,0,2019-11-05.12:33:21
ssca2,1048577,157877986,fasttrim,4,35.137,11,-1,11,0,0,0,0,2019-11-05.12:33:25
wiki_link_en,12150977,378142420,fasttrim,4,279.029,37102,-1,37102,0,0,0,0,2019-11-05.12:33:36
wiki-links,5710993,130160392,fasttrim,4,125.821,7415,-1,7415,0,0,0,0,2019-11-05.12:33:40
wiki_talk_en,2987536,24981163,fasttrim,4,12.238,2611598,-1,2611598,0,0,0,0,2019-11-05.12:33:42
youtube-links,1138500,4942297,fasttrim,4,12.625,600414,-1,600414,0,0,0,0,2019-11-05.12:33:43
baidu,2141301,17794839,trim,4,57.053,598975,9,598975,598975,598975,0,0,2019-11-05.12:33:44
-bakery.6,11845035,40400559,trim,4,1164.608,2636196,47,2636196,2636196,2636196,0,0,2019-11-05.12:33:46
-cambridge.6,3354295,9483191,trim,4,339.518,8412,65,8412,8412,8412,0,0,2019-11-05.12:33:47
dbpedia,3966925,13820853,trim,4,952.857,1437127,112,1437127,1437127,1437127,0,0,2019-11-05.12:33:49
dbpedia-link,18268993,172183984,trim,4,309.627,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.12:33:55
-leader-filters.7,26302351,91692858,trim,4,1669.483,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.12:34:00
livej,4847571,68993773,trim,4,176.362,592952,8,592952,592952,592952,0,0,2019-11-05.12:34:02
patent,3774768,16518948,trim,4,181.829,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.12:34:03
pokec,1632804,30622564,trim,4,37.117,212042,5,212042,212042,212042,0,0,2019-11-05.12:34:04
random,10000001,100000000,trim,4,107.239,455,2,455,455,455,0,0,2019-11-05.12:34:08
rmat,9999994,100000000,trim,4,296.271,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.12:34:12
ssca2,1048577,157877986,trim,4,12.961,11,2,11,11,11,0,0,2019-11-05.12:34:16
wiki_link_en,12150977,378142420,trim,4,242.606,37102,4,37102,37102,37102,0,0,2019-11-05.12:34:27
wiki-links,5710993,130160392,trim,4,134.401,7415,4,7415,7415,7415,0,0,2019-11-05.12:34:31
wiki_talk_en,2987536,24981163,trim,4,22.686,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.12:34:33
youtube-links,1138500,4942297,trim,4,12.609,600414,6,600414,600414,600414,0,0,2019-11-05.12:34:34
baidu,2141301,17794839,ufscc,4,311.904,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.12:34:35
-bakery.6,11845035,40400559,ufscc,4,969.734,-1,-1,-1,2636212,2636197,0,0,2019-11-05.12:34:37
-cambridge.6,3354295,9483191,ufscc,4,158.468,-1,-1,-1,8413,8412,0,0,2019-11-05.12:34:38
dbpedia,3966925,13820853,ufscc,4,163.644,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.12:34:39
