model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
baidu,2141301,17794839,ufscc,6,227.519,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.14:29:32
-bakery.6,11845035,40400559,ufscc,6,669.572,-1,-1,-1,2636212,2636197,0,0,2019-11-05.14:29:35
-cambridge.6,3354295,9483191,ufscc,6,136.621,-1,-1,-1,8413,8412,0,0,2019-11-05.14:29:35
dbpedia,3966925,13820853,ufscc,6,121.101,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.14:29:36
dbpedia-link,18268993,172183984,ufscc,6,2346.532,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.14:29:44
-leader-filters.7,26302351,91692858,ufscc,6,524.299,-1,-1,-1,26302351,26302351,0,0,2019-11-05.14:29:48
livej,4847571,68993773,ufscc,6,1299.495,-1,-1,-1,971232,947776,16875,3280,2019-11-05.14:29:52
patent,3774768,16518948,ufscc,6,251.17,-1,-1,-1,3774768,3774768,0,0,2019-11-05.14:29:53
pokec,1632804,30622564,ufscc,6,590.31,-1,-1,-1,325893,323799,1904,151,2019-11-05.14:29:54
random,10000001,100000000,ufscc,6,4033.387,-1,-1,-1,877,876,0,0,2019-11-05.14:30:02
rmat,9999994,100000000,ufscc,6,4155.943,-1,-1,-1,2247072,2247071,0,0,2019-11-05.14:30:10
ssca2,1048577,157877986,ufscc,6,599.354,-1,-1,-1,31,29,1,0,2019-11-05.14:30:15
wiki_link_en,12150977,378142420,ufscc,6,3459.681,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.14:30:29
wiki-links,5710993,130160392,ufscc,6,1691.568,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.14:30:35
wiki_talk_en,2987536,24981163,ufscc,6,224.629,-1,-1,-1,2736716,2735641,992,58,2019-11-05.14:30:37
youtube-links,1138500,4942297,ufscc,6,103.064,-1,-1,-1,613423,602053,8696,1709,2019-11-05.14:30:37
baidu,2141301,17794839,fasttrim,8,26.467,598975,-1,598975,0,0,0,0,2019-11-05.14:30:38
-bakery.6,11845035,40400559,fasttrim,8,99.659,2636196,-1,2636196,0,0,0,0,2019-11-05.14:30:40
-cambridge.6,3354295,9483191,fasttrim,8,26.843,8412,-1,8412,0,0,0,0,2019-11-05.14:30:40
dbpedia,3966925,13820853,fasttrim,8,44.384,1437127,-1,1437127,0,0,0,0,2019-11-05.14:30:41
dbpedia-link,18268993,172183984,fasttrim,8,218.49,8143619,-1,8143619,0,0,0,0,2019-11-05.14:30:47
-leader-filters.7,26302351,91692858,fasttrim,8,273.973,26302351,-1,26302351,0,0,0,0,2019-11-05.14:30:50
livej,4847571,68993773,fasttrim,8,70.117,592952,-1,592952,0,0,0,0,2019-11-05.14:30:52
patent,3774768,16518948,fasttrim,8,230.988,3774768,-1,3774768,0,0,0,0,2019-11-05.14:30:53
pokec,1632804,30622564,fasttrim,8,19.21,212042,-1,212042,0,0,0,0,2019-11-05.14:30:54
random,10000001,100000000,fasttrim,8,220.648,455,-1,455,0,0,0,0,2019-11-05.14:30:58
rmat,9999994,100000000,fasttrim,8,187.164,2203713,-1,2203713,0,0,0,0,2019-11-05.14:31:02
ssca2,1048577,157877986,fasttrim,8,24.792,11,-1,11,0,0,0,0,2019-11-05.14:31:07
wiki_link_en,12150977,378142420,fasttrim,8,182.659,37102,-1,37102,0,0,0,0,2019-11-05.14:31:17
wiki-links,5710993,130160392,fasttrim,8,81.407,7415,-1,7415,0,0,0,0,2019-11-05.14:31:21
wiki_talk_en,2987536,24981163,fasttrim,8,9.814,2611598,-1,2611598,0,0,0,0,2019-11-05.14:31:23
youtube-links,1138500,4942297,fasttrim,8,9.146,600414,-1,600414,0,0,0,0,2019-11-05.14:31:24
baidu,2141301,17794839,trim,8,39.502,598975,9,598975,598975,598975,0,0,2019-11-05.14:31:24
-bakery.6,11845035,40400559,trim,8,837.71,2636196,47,2636196,2636196,2636196,0,0,2019-11-05.14:31:27
-cambridge.6,3354295,9483191,trim,8,282.895,8412,65,8412,8412,8412,0,0,2019-11-05.14:31:27
dbpedia,3966925,13820853,trim,8,606.466,1437127,111,1437127,1437127,1437127,0,0,2019-11-05.14:31:29
dbpedia-link,18268993,172183984,trim,8,206.964,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.14:31:35
-leader-filters.7,26302351,91692858,trim,8,1357.198,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.14:31:39
livej,4847571,68993773,trim,8,126.568,592952,8,592952,592952,592952,0,0,2019-11-05.14:31:41
patent,3774768,16518948,trim,8,114.315,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.14:31:42
pokec,1632804,30622564,trim,8,30.002,212042,5,212042,212042,212042,0,0,2019-11-05.14:31:43
random,10000001,100000000,trim,8,75.055,455,2,455,455,455,0,0,2019-11-05.14:31:47
rmat,9999994,100000000,trim,8,202.553,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.14:31:51
ssca2,1048577,157877986,trim,8,8.702,11,2,11,11,11,0,0,2019-11-05.14:31:55
wiki_link_en,12150977,378142420,trim,8,178.174,37102,4,37102,37102,37102,0,0,2019-11-05.14:32:06
wiki-links,5710993,130160392,trim,8,81.765,7415,4,7415,7415,7415,0,0,2019-11-05.14:32:10
wiki_talk_en,2987536,24981163,trim,8,17.892,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.14:32:12
youtube-links,1138500,4942297,trim,8,9.19,600414,6,600414,600414,600414,0,0,2019-11-05.14:32:12
baidu,2141301,17794839,ufscc,8,190.401,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.14:32:13
-bakery.6,11845035,40400559,ufscc,8,592.471,-1,-1,-1,2636212,2636197,0,0,2019-11-05.14:32:15
-cambridge.6,3354295,9483191,ufscc,8,125.748,-1,-1,-1,8413,8412,0,0,2019-11-05.14:32:16
dbpedia,3966925,13820853,ufscc,8,94.317,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.14:32:16
dbpedia-link,18268993,172183984,ufscc,8,1743.964,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.14:32:24
-leader-filters.7,26302351,91692858,ufscc,8,467.199,-1,-1,-1,26302351,26302351,0,0,2019-11-05.14:32:28
livej,4847571,68993773,ufscc,8,1083.083,-1,-1,-1,971232,947776,16875,3280,2019-11-05.14:32:31
patent,3774768,16518948,ufscc,8,199.289,-1,-1,-1,3774768,3774768,0,0,2019-11-05.14:32:32
pokec,1632804,30622564,ufscc,8,466.833,-1,-1,-1,325893,323799,1904,151,2019-11-05.14:32:33
random,10000001,100000000,ufscc,8,3109.476,-1,-1,-1,877,876,0,0,2019-11-05.14:32:40
rmat,9999994,100000000,ufscc,8,2911.496,-1,-1,-1,2247072,2247071,0,0,2019-11-05.14:32:47
ssca2,1048577,157877986,ufscc,8,492.868,-1,-1,-1,31,29,1,0,2019-11-05.14:32:51
wiki_link_en,12150977,378142420,ufscc,8,3457.27,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.14:33:05
wiki-links,5710993,130160392,ufscc,8,1363.228,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.14:33:11
wiki_talk_en,2987536,24981163,ufscc,8,201.604,-1,-1,-1,2736716,2735641,992,58,2019-11-05.14:33:13
youtube-links,1138500,4942297,ufscc,8,77.481,-1,-1,-1,613423,602053,8696,1709,2019-11-05.14:33:13
baidu,2141301,17794839,fasttrim,10,25.206,598975,-1,598975,0,0,0,0,2019-11-05.14:33:14
-bakery.6,11845035,40400559,fasttrim,10,86.089,2636196,-1,2636196,0,0,0,0,2019-11-05.14:33:16
-cambridge.6,3354295,9483191,fasttrim,10,23.044,8412,-1,8412,0,0,0,0,2019-11-05.14:33:16
dbpedia,3966925,13820853,fasttrim,10,44.957,1437127,-1,1437127,0,0,0,0,2019-11-05.14:33:17
dbpedia-link,18268993,172183984,fasttrim,10,193.425,8143619,-1,8143619,0,0,0,0,2019-11-05.14:33:22
-leader-filters.7,26302351,91692858,fasttrim,10,241.242,26302351,-1,26302351,0,0,0,0,2019-11-05.14:33:26
livej,4847571,68993773,fasttrim,10,61.641,592952,-1,592952,0,0,0,0,2019-11-05.14:33:28
patent,3774768,16518948,fasttrim,10,188.078,3774768,-1,3774768,0,0,0,0,2019-11-05.14:33:29
pokec,1632804,30622564,fasttrim,10,16.978,212042,-1,212042,0,0,0,0,2019-11-05.14:33:30
random,10000001,100000000,fasttrim,10,178.932,455,-1,455,0,0,0,0,2019-11-05.14:33:34
rmat,9999994,100000000,fasttrim,10,158.439,2203713,-1,2203713,0,0,0,0,2019-11-05.14:33:38
ssca2,1048577,157877986,fasttrim,10,20.42,11,-1,11,0,0,0,0,2019-11-05.14:33:42
wiki_link_en,12150977,378142420,fasttrim,10,150.552,37102,-1,37102,0,0,0,0,2019-11-05.14:33:53
wiki-links,5710993,130160392,fasttrim,10,69.85,7415,-1,7415,0,0,0,0,2019-11-05.14:33:57
wiki_talk_en,2987536,24981163,fasttrim,10,7.371,2611598,-1,2611598,0,0,0,0,2019-11-05.14:33:59
youtube-links,1138500,4942297,fasttrim,10,7.98,600414,-1,600414,0,0,0,0,2019-11-05.14:34:00
baidu,2141301,17794839,trim,10,30.941,598975,9,598975,598975,598975,0,0,2019-11-05.14:34:00
-bakery.6,11845035,40400559,trim,10,712.932,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.14:34:03
-cambridge.6,3354295,9483191,trim,10,223.849,8412,65,8412,8412,8412,0,0,2019-11-05.14:34:03
dbpedia,3966925,13820853,trim,10,480.978,1437127,111,1437127,1437127,1437127,0,0,2019-11-05.14:34:04
dbpedia-link,18268993,172183984,trim,10,174.574,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.14:34:10
-leader-filters.7,26302351,91692858,trim,10,1264.623,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.14:34:15
livej,4847571,68993773,trim,10,97.268,592952,8,592952,592952,592952,0,0,2019-11-05.14:34:17
patent,3774768,16518948,trim,10,95.86,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.14:34:18
pokec,1632804,30622564,trim,10,21.615,212042,5,212042,212042,212042,0,0,2019-11-05.14:34:19
random,10000001,100000000,trim,10,54.879,455,2,455,455,455,0,0,2019-11-05.14:34:23
rmat,9999994,100000000,trim,10,154.357,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.14:34:27
ssca2,1048577,157877986,trim,10,6.834,11,2,11,11,11,0,0,2019-11-05.14:34:31
wiki_link_en,12150977,378142420,trim,10,108.404,37102,4,37102,37102,37102,0,0,2019-11-05.14:34:42
wiki-links,5710993,130160392,trim,10,60.613,7415,4,7415,7415,7415,0,0,2019-11-05.14:34:46
wiki_talk_en,2987536,24981163,trim,10,15.348,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.14:34:48
youtube-links,1138500,4942297,trim,10,7.671,600414,6,600414,600414,600414,0,0,2019-11-05.14:34:48
baidu,2141301,17794839,ufscc,10,140.119,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.14:34:49
-bakery.6,11845035,40400559,ufscc,10,419.325,-1,-1,-1,2636212,2636197,0,0,2019-11-05.14:34:51
-cambridge.6,3354295,9483191,ufscc,10,83.233,-1,-1,-1,8413,8412,0,0,2019-11-05.14:34:51
dbpedia,3966925,13820853,ufscc,10,80.198,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.14:34:52
dbpedia-link,18268993,172183984,ufscc,10,1324.765,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.14:34:59
-leader-filters.7,26302351,91692858,ufscc,10,390.848,-1,-1,-1,26302351,26302351,0,0,2019-11-05.14:35:02
livej,4847571,68993773,ufscc,10,730.573,-1,-1,-1,971232,947776,16875,3280,2019-11-05.14:35:05
patent,3774768,16518948,ufscc,10,162.474,-1,-1,-1,3774768,3774768,0,0,2019-11-05.14:35:06
pokec,1632804,30622564,ufscc,10,348.522,-1,-1,-1,325893,323799,1904,151,2019-11-05.14:35:08
random,10000001,100000000,ufscc,10,2414.229,-1,-1,-1,877,876,0,0,2019-11-05.14:35:14
rmat,9999994,100000000,ufscc,10,2443.366,-1,-1,-1,2247072,2247071,0,0,2019-11-05.14:35:20
ssca2,1048577,157877986,ufscc,10,438.834,-1,-1,-1,31,29,1,0,2019-11-05.14:35:25
wiki_link_en,12150977,378142420,ufscc,10,2123.612,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.14:35:37
wiki-links,5710993,130160392,ufscc,10,1047.302,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.14:35:42
wiki_talk_en,2987536,24981163,ufscc,10,153.826,-1,-1,-1,2736716,2735641,992,58,2019-11-05.14:35:45
youtube-links,1138500,4942297,ufscc,10,67.152,-1,-1,-1,613423,602053,8696,1709,2019-11-05.14:35:45
baidu,2141301,17794839,fasttrim,12,23.24,598975,-1,598975,0,0,0,0,2019-11-05.14:35:46
-bakery.6,11845035,40400559,fasttrim,12,78.894,2636196,-1,2636196,0,0,0,0,2019-11-05.14:35:48
-cambridge.6,3354295,9483191,fasttrim,12,20.629,8412,-1,8412,0,0,0,0,2019-11-05.14:35:48
dbpedia,3966925,13820853,fasttrim,12,43.898,1437127,-1,1437127,0,0,0,0,2019-11-05.14:35:49
dbpedia-link,18268993,172183984,fasttrim,12,173.536,8143619,-1,8143619,0,0,0,0,2019-11-05.14:35:55
-leader-filters.7,26302351,91692858,fasttrim,12,228.537,26302351,-1,26302351,0,0,0,0,2019-11-05.14:35:58
livej,4847571,68993773,fasttrim,12,55.808,592952,-1,592952,0,0,0,0,2019-11-05.14:36:01
patent,3774768,16518948,fasttrim,12,167.344,3774768,-1,3774768,0,0,0,0,2019-11-05.14:36:02
pokec,1632804,30622564,fasttrim,12,15.023,212042,-1,212042,0,0,0,0,2019-11-05.14:36:03
random,10000001,100000000,fasttrim,12,153.406,455,-1,455,0,0,0,0,2019-11-05.14:36:07
rmat,9999994,100000000,fasttrim,12,143.164,2203713,-1,2203713,0,0,0,0,2019-11-05.14:36:11
ssca2,1048577,157877986,fasttrim,12,16.198,11,-1,11,0,0,0,0,2019-11-05.14:36:15
wiki_link_en,12150977,378142420,fasttrim,12,141.26,37102,-1,37102,0,0,0,0,2019-11-05.14:36:25
wiki-links,5710993,130160392,fasttrim,12,62.157,7415,-1,7415,0,0,0,0,2019-11-05.14:36:29
wiki_talk_en,2987536,24981163,fasttrim,12,7.562,2611598,-1,2611598,0,0,0,0,2019-11-05.14:36:31
youtube-links,1138500,4942297,fasttrim,12,7.356,600414,-1,600414,0,0,0,0,2019-11-05.14:36:32
baidu,2141301,17794839,trim,12,27.002,598975,9,598975,598975,598975,0,0,2019-11-05.14:36:32
-bakery.6,11845035,40400559,trim,12,655.756,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.14:36:35
-cambridge.6,3354295,9483191,trim,12,189.955,8412,65,8412,8412,8412,0,0,2019-11-05.14:36:35
dbpedia,3966925,13820853,trim,12,406.048,1437127,112,1437127,1437127,1437127,0,0,2019-11-05.14:36:36
dbpedia-link,18268993,172183984,trim,12,143.858,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.14:36:42
-leader-filters.7,26302351,91692858,trim,12,1178.006,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.14:36:47
livej,4847571,68993773,trim,12,94.05,592952,8,592952,592952,592952,0,0,2019-11-05.14:36:49
patent,3774768,16518948,trim,12,84.757,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.14:36:50
pokec,1632804,30622564,trim,12,19.372,212042,5,212042,212042,212042,0,0,2019-11-05.14:36:51
random,10000001,100000000,trim,12,48.43,455,2,455,455,455,0,0,2019-11-05.14:36:55
rmat,9999994,100000000,trim,12,146.042,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.14:36:59
ssca2,1048577,157877986,trim,12,5.987,11,2,11,11,11,0,0,2019-11-05.14:37:03
wiki_link_en,12150977,378142420,trim,12,127.921,37102,4,37102,37102,37102,0,0,2019-11-05.14:37:14
wiki-links,5710993,130160392,trim,12,52.016,7415,4,7415,7415,7415,0,0,2019-11-05.14:37:18
wiki_talk_en,2987536,24981163,trim,12,13.957,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.14:37:20
youtube-links,1138500,4942297,trim,12,6.793,600414,6,600414,600414,600414,0,0,2019-11-05.14:37:20
baidu,2141301,17794839,ufscc,12,114.493,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.14:37:21
-bakery.6,11845035,40400559,ufscc,12,375.999,-1,-1,-1,2636212,2636197,0,0,2019-11-05.14:37:23
-cambridge.6,3354295,9483191,ufscc,12,88.186,-1,-1,-1,8413,8412,0,0,2019-11-05.14:37:23
dbpedia,3966925,13820853,ufscc,12,68.834,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.14:37:24
dbpedia-link,18268993,172183984,ufscc,12,1164.735,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.14:37:31
-leader-filters.7,26302351,91692858,ufscc,12,359.203,-1,-1,-1,26302351,26302351,0,0,2019-11-05.14:37:35
livej,4847571,68993773,ufscc,12,631.679,-1,-1,-1,971232,947776,16875,3280,2019-11-05.14:37:37
patent,3774768,16518948,ufscc,12,141.2,-1,-1,-1,3774768,3774768,0,0,2019-11-05.14:37:38
pokec,1632804,30622564,ufscc,12,300.974,-1,-1,-1,325893,323799,1904,151,2019-11-05.14:37:39
random,10000001,100000000,ufscc,12,2179.826,-1,-1,-1,877,876,0,0,2019-11-05.14:37:45
rmat,9999994,100000000,ufscc,12,1941.002,-1,-1,-1,2247072,2247071,0,0,2019-11-05.14:37:51
ssca2,1048577,157877986,ufscc,12,384.872,-1,-1,-1,31,29,1,0,2019-11-05.14:37:56
wiki_link_en,12150977,378142420,ufscc,12,1712.079,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.14:38:08
wiki-links,5710993,130160392,ufscc,12,847.928,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.14:38:13
wiki_talk_en,2987536,24981163,ufscc,12,143.5,-1,-1,-1,2736716,2735641,992,58,2019-11-05.14:38:15
youtube-links,1138500,4942297,ufscc,12,51.859,-1,-1,-1,613423,602053,8696,1709,2019-11-05.14:38:15
baidu,2141301,17794839,fasttrim,14,22.389,598975,-1,598975,0,0,0,0,2019-11-05.14:38:16
-bakery.6,11845035,40400559,fasttrim,14,73.988,2636196,-1,2636196,0,0,0,0,2019-11-05.14:38:17
-cambridge.6,3354295,9483191,fasttrim,14,19.492,8412,-1,8412,0,0,0,0,2019-11-05.14:38:18
dbpedia,3966925,13820853,fasttrim,14,44.15,1437127,-1,1437127,0,0,0,0,2019-11-05.14:38:19
dbpedia-link,18268993,172183984,fasttrim,14,168.697,8143619,-1,8143619,0,0,0,0,2019-11-05.14:38:24
-leader-filters.7,26302351,91692858,fasttrim,14,199.04,26302351,-1,26302351,0,0,0,0,2019-11-05.14:38:28
livej,4847571,68993773,fasttrim,14,51.461,592952,-1,592952,0,0,0,0,2019-11-05.14:38:30
patent,3774768,16518948,fasttrim,14,180.508,3774768,-1,3774768,0,0,0,0,2019-11-05.14:38:31
pokec,1632804,30622564,fasttrim,14,14.385,212042,-1,212042,0,0,0,0,2019-11-05.14:38:32
random,10000001,100000000,fasttrim,14,143.307,455,-1,455,0,0,0,0,2019-11-05.14:38:36
rmat,9999994,100000000,fasttrim,14,133.296,2203713,-1,2203713,0,0,0,0,2019-11-05.14:38:40
ssca2,1048577,157877986,fasttrim,14,15.221,11,-1,11,0,0,0,0,2019-11-05.14:38:44
wiki_link_en,12150977,378142420,fasttrim,14,126.047,37102,-1,37102,0,0,0,0,2019-11-05.14:38:55
wiki-links,5710993,130160392,fasttrim,14,58.39,7415,-1,7415,0,0,0,0,2019-11-05.14:38:59
wiki_talk_en,2987536,24981163,fasttrim,14,6.453,2611598,-1,2611598,0,0,0,0,2019-11-05.14:39:01
youtube-links,1138500,4942297,fasttrim,14,6.806,600414,-1,600414,0,0,0,0,2019-11-05.14:39:01
baidu,2141301,17794839,trim,14,26.278,598975,9,598975,598975,598975,0,0,2019-11-05.14:39:02
-bakery.6,11845035,40400559,trim,14,652.264,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.14:39:04
-cambridge.6,3354295,9483191,trim,14,192.223,8412,65,8412,8412,8412,0,0,2019-11-05.14:39:05
dbpedia,3966925,13820853,trim,14,371.574,1437127,110,1437127,1437127,1437127,0,0,2019-11-05.14:39:06
dbpedia-link,18268993,172183984,trim,14,153.351,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.14:39:11
-leader-filters.7,26302351,91692858,trim,14,1195.84,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.14:39:16
livej,4847571,68993773,trim,14,89.762,592952,8,592952,592952,592952,0,0,2019-11-05.14:39:18
patent,3774768,16518948,trim,14,80.79,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.14:39:19
pokec,1632804,30622564,trim,14,19.269,212042,5,212042,212042,212042,0,0,2019-11-05.14:39:20
random,10000001,100000000,trim,14,55.774,455,2,455,455,455,0,0,2019-11-05.14:39:24
rmat,9999994,100000000,trim,14,138.242,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.14:39:28
ssca2,1048577,157877986,trim,14,6.034,11,2,11,11,11,0,0,2019-11-05.14:39:32
wiki_link_en,12150977,378142420,trim,14,99.627,37102,4,37102,37102,37102,0,0,2019-11-05.14:39:43
wiki-links,5710993,130160392,trim,14,49.834,7415,4,7415,7415,7415,0,0,2019-11-05.14:39:47
wiki_talk_en,2987536,24981163,trim,14,19.429,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.14:39:49
youtube-links,1138500,4942297,trim,14,6.649,600414,6,600414,600414,600414,0,0,2019-11-05.14:39:49
baidu,2141301,17794839,ufscc,14,103.61,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.14:39:50
-bakery.6,11845035,40400559,ufscc,14,345.998,-1,-1,-1,2636212,2636197,0,0,2019-11-05.14:39:52
-cambridge.6,3354295,9483191,ufscc,14,73.932,-1,-1,-1,8413,8412,0,0,2019-11-05.14:39:53
dbpedia,3966925,13820853,ufscc,14,60.862,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.14:39:53
dbpedia-link,18268993,172183984,ufscc,14,987.706,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.14:40:00
-leader-filters.7,26302351,91692858,ufscc,14,328.425,-1,-1,-1,26302351,26302351,0,0,2019-11-05.14:40:03
livej,4847571,68993773,ufscc,14,562.98,-1,-1,-1,971232,947776,16875,3280,2019-11-05.14:40:06
patent,3774768,16518948,ufscc,14,129.702,-1,-1,-1,3774768,3774768,0,0,2019-11-05.14:40:07
pokec,1632804,30622564,ufscc,14,254.438,-1,-1,-1,325893,323799,1904,151,2019-11-05.14:40:08
random,10000001,100000000,ufscc,14,1739.517,-1,-1,-1,877,876,0,0,2019-11-05.14:40:14
rmat,9999994,100000000,ufscc,14,1722.892,-1,-1,-1,2247072,2247071,0,0,2019-11-05.14:40:19
ssca2,1048577,157877986,ufscc,14,386.174,-1,-1,-1,31,29,1,0,2019-11-05.14:40:24
wiki_link_en,12150977,378142420,ufscc,14,1494.058,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.14:40:36
wiki-links,5710993,130160392,ufscc,14,962.509,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.14:40:41
wiki_talk_en,2987536,24981163,ufscc,14,130.698,-1,-1,-1,2736716,2735641,992,58,2019-11-05.14:40:43
youtube-links,1138500,4942297,ufscc,14,51.394,-1,-1,-1,613423,602053,8696,1709,2019-11-05.14:40:44
baidu,2141301,17794839,fasttrim,16,22.075,598975,-1,598975,0,0,0,0,2019-11-05.14:40:44
-bakery.6,11845035,40400559,fasttrim,16,69.882,2636196,-1,2636196,0,0,0,0,2019-11-05.14:40:46
-cambridge.6,3354295,9483191,fasttrim,16,18.729,8412,-1,8412,0,0,0,0,2019-11-05.14:40:46
dbpedia,3966925,13820853,fasttrim,16,46.665,1437127,-1,1437127,0,0,0,0,2019-11-05.14:40:47
dbpedia-link,18268993,172183984,fasttrim,16,163.775,8143619,-1,8143619,0,0,0,0,2019-11-05.14:40:53
-leader-filters.7,26302351,91692858,fasttrim,16,188.05,26302351,-1,26302351,0,0,0,0,2019-11-05.14:40:56
livej,4847571,68993773,fasttrim,16,47.312,592952,-1,592952,0,0,0,0,2019-11-05.14:40:59
patent,3774768,16518948,fasttrim,16,180.993,3774768,-1,3774768,0,0,0,0,2019-11-05.14:40:59
pokec,1632804,30622564,fasttrim,16,15.452,212042,-1,212042,0,0,0,0,2019-11-05.14:41:00
random,10000001,100000000,fasttrim,16,136.335,455,-1,455,0,0,0,0,2019-11-05.14:41:04
rmat,9999994,100000000,fasttrim,16,128.808,2203713,-1,2203713,0,0,0,0,2019-11-05.14:41:08
ssca2,1048577,157877986,fasttrim,16,16.183,11,-1,11,0,0,0,0,2019-11-05.14:41:13
wiki_link_en,12150977,378142420,fasttrim,16,117.333,37102,-1,37102,0,0,0,0,2019-11-05.14:41:23
wiki-links,5710993,130160392,fasttrim,16,53.713,7415,-1,7415,0,0,0,0,2019-11-05.14:41:27
wiki_talk_en,2987536,24981163,fasttrim,16,6.886,2611598,-1,2611598,0,0,0,0,2019-11-05.14:41:29
youtube-links,1138500,4942297,fasttrim,16,6.023,600414,-1,600414,0,0,0,0,2019-11-05.14:41:30
baidu,2141301,17794839,trim,16,25.973,598975,9,598975,598975,598975,0,0,2019-11-05.14:41:30
-bakery.6,11845035,40400559,trim,16,638.117,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.14:41:33
-cambridge.6,3354295,9483191,trim,16,184.249,8412,65,8412,8412,8412,0,0,2019-11-05.14:41:33
dbpedia,3966925,13820853,trim,16,358.869,1437127,109,1437127,1437127,1437127,0,0,2019-11-05.14:41:34
dbpedia-link,18268993,172183984,trim,16,134.756,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.14:41:40
-leader-filters.7,26302351,91692858,trim,16,1176.464,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.14:41:44
livej,4847571,68993773,trim,16,78.77,592952,8,592952,592952,592952,0,0,2019-11-05.14:41:46
patent,3774768,16518948,trim,16,78.206,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.14:41:47
pokec,1632804,30622564,trim,16,19.164,212042,5,212042,212042,212042,0,0,2019-11-05.14:41:48
random,10000001,100000000,trim,16,46.174,455,2,455,455,455,0,0,2019-11-05.14:41:52
rmat,9999994,100000000,trim,16,133.2,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.14:41:56
ssca2,1048577,157877986,trim,16,6.134,11,2,11,11,11,0,0,2019-11-05.14:42:00
wiki_link_en,12150977,378142420,trim,16,141.689,37102,4,37102,37102,37102,0,0,2019-11-05.14:42:11
wiki-links,5710993,130160392,trim,16,49.08,7415,4,7415,7415,7415,0,0,2019-11-05.14:42:15
wiki_talk_en,2987536,24981163,trim,16,12.014,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.14:42:17
youtube-links,1138500,4942297,trim,16,6.624,600414,6,600414,600414,600414,0,0,2019-11-05.14:42:17
baidu,2141301,17794839,ufscc,16,97.441,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.14:42:18
-bakery.6,11845035,40400559,ufscc,16,323.52,-1,-1,-1,2636212,2636197,0,0,2019-11-05.14:42:20
-cambridge.6,3354295,9483191,ufscc,16,70.021,-1,-1,-1,8413,8412,0,0,2019-11-05.14:42:20
dbpedia,3966925,13820853,ufscc,16,60.322,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.14:42:21
dbpedia-link,18268993,172183984,ufscc,16,1001.682,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.14:42:28
