model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
com-friendster,12484180,180524115,trim,1,273092.393000,12484180,1149,12484180,738638085,0,0,0,0,0,4096,-1,10,100,2021-06-23.11:54:01
com-friendster,124836180,180614142,trim,1,953078.340000,124836180,1800,124836180,10525149389,0,0,0,0,0,4096,-1,100,10,2021-06-23.12:18:37
com-friendster,24965497,361133750,trim,1,814226.077000,24965497,2476,24965497,3983851453,0,0,0,0,0,4096,-1,20,100,2021-06-23.12:40:39
com-friendster,124836180,361230067,trim,1,2054149.681000,124836180,3437,124836180,27125062242,0,0,0,0,0,4096,-1,100,20,2021-06-23.13:28:26
com-friendster,37451376,541976317,trim,1,1603522.153000,37451376,3946,37451376,10926989864,0,0,0,0,0,4096,-1,30,100,2021-06-23.14:10:18
com-friendster,124836180,541856225,trim,1,3121630.769000,124836180,5045,124836180,45288602978,0,0,0,0,0,4096,-1,100,30,2021-06-23.15:14:29
com-friendster,49933487,722447863,trim,1,2380530.126000,49933487,5293,49933487,20794611159,0,0,0,0,0,4096,-1,40,100,2021-06-23.16:04:28
com-friendster,124836180,722398872,trim,1,4061254.024000,124836180,6388,124836180,62098736226,0,0,0,0,0,4096,-1,100,40,2021-06-23.17:23:21
com-friendster,62426580,903105526,trim,1,3312552.685000,62426580,6616,62426580,34486141673,0,0,0,0,0,4096,-1,50,100,2021-06-23.18:28:45
com-friendster,124836180,903040188,trim,1,4994334.403000,124836180,7806,124836180,80877186854,0,0,0,0,0,4096,-1,100,50,2021-06-23.20:03:57
com-friendster,74892863,1083808287,trim,1,4439007.551000,74892863,8032,74892863,52565534187,0,0,0,0,0,4096,-1,60,100,2021-06-23.21:28:31
com-friendster,124836180,1083617412,trim,1,5972520.756000,124836180,9081,124836180,97716972923,0,0,0,0,0,4096,-1,100,60,2021-06-23.23:20:42
com-friendster,87384837,1264333320,trim,1,5597785.471000,87384837,9580,87384837,75405523248,0,0,0,0,0,4096,-1,70,100,2021-06-24.01:06:19
com-friendster,124836180,1264245585,trim,1,6801102.188000,124836180,10318,124836180,114483913476,0,0,0,0,0,4096,-1,100,70,2021-06-24.03:13:52
com-friendster,99870471,1445007736,trim,1,6769527.517000,99870471,11068,99870471,102443792904,0,0,0,0,0,4096,-1,80,100,2021-06-24.05:20:01
com-friendster,124836180,1444833122,trim,1,7765910.341000,124836180,11562,124836180,134124048341,0,0,0,0,0,4096,-1,100,80,2021-06-24.07:43:26
com-friendster,112355795,1625610085,trim,1,8154913.479000,112355795,12489,112355795,133235496543,0,0,0,0,0,4096,-1,90,100,2021-06-24.10:10:38
com-friendster,124836180,1625468281,trim,1,8578518.521000,124836180,12777,124836180,150809230648,0,0,0,0,0,4096,-1,100,90,2021-06-24.12:46:25
twitter,4137793,143207883,trim,1,1506.011000,2350572,6,2350572,11427144,0,0,0,0,0,4096,-1,10,100,2021-06-24.12:50:16
twitter,41354195,144000030,trim,1,4280.579000,24235040,8,24235040,146026539,0,0,0,0,0,4096,-1,100,10,2021-06-24.12:54:35
twitter,8272958,288410499,trim,1,2257.578000,3050470,6,3050470,32365167,0,0,0,0,0,4096,-1,20,100,2021-06-24.12:58:25
twitter,41354195,288008942,trim,1,4321.394000,15593164,7,15593164,186406911,0,0,0,0,0,4096,-1,100,20,2021-06-24.13:02:52
twitter,12402936,431104781,trim,1,3257.690000,3344824,7,3344824,64650855,0,0,0,0,0,4096,-1,30,100,2021-06-24.13:07:40
twitter,41354195,432018733,trim,1,3954.848000,11200743,6,11200743,185329773,0,0,0,0,0,4096,-1,100,30,2021-06-24.13:12:35
twitter,16534372,575943547,trim,1,2729.360000,3439162,5,3439162,66811260,0,0,0,0,0,4096,-1,40,100,2021-06-24.13:16:28
twitter,41354195,576000203,trim,1,5857.465000,8675199,9,8675199,297587414,0,0,0,0,0,4096,-1,100,40,2021-06-24.13:21:28
twitter,20676928,721419408,trim,1,2563.596000,3518012,5,3518012,87204729,0,0,0,0,0,4096,-1,50,100,2021-06-24.13:25:49
twitter,41354195,720005202,trim,1,4384.198000,7100968,6,7100968,208435899,0,0,0,0,0,4096,-1,100,50,2021-06-24.13:30:56
twitter,24817445,864425975,trim,1,4169.750000,3639058,7,3639058,149734147,0,0,0,0,0,4096,-1,60,100,2021-06-24.13:35:00
twitter,41354195,864014260,trim,1,5018.217000,6061798,7,6061798,249617517,0,0,0,0,0,4096,-1,100,60,2021-06-24.13:40:54
twitter,28952496,1007641157,trim,1,5458.520000,3758098,9,3758098,228374991,0,0,0,0,0,4096,-1,70,100,2021-06-24.13:45:04
twitter,41354195,1008027410,trim,1,5102.531000,5342917,7,5342917,254404881,0,0,0,0,0,4096,-1,100,70,2021-06-24.13:50:32
twitter,33080165,1152236381,trim,1,10285.892000,3838049,17,3838049,498836121,0,0,0,0,0,4096,-1,80,100,2021-06-24.13:54:50
twitter,41354195,1152026753,trim,1,4641.107000,4827923,6,4827923,221322901,0,0,0,0,0,4096,-1,100,80,2021-06-24.14:00:23
twitter,37217914,1296542229,trim,1,4944.141000,3992279,8,3992279,267624467,0,0,0,0,0,4096,-1,90,100,2021-06-24.14:05:11
