model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
patent,3774768,16518948,ufscc,16,122.921000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.16:46:14
pokec,1632804,30622564,ufscc,16,242.533000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.16:46:15
random,10000001,100000000,ufscc,16,1582.097000,-1,-1,-1,877,-1,876,0,0,2019-11-08.16:46:21
rmat,9999994,100000000,ufscc,16,1643.877000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.16:46:26
ssca2,1048577,157877986,ufscc,16,331.822000,-1,-1,-1,31,-1,29,1,0,2019-11-08.16:46:31
wiki_link_en,12150977,378142420,ufscc,16,1437.530000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.16:46:43
wiki-links,5710993,130160392,ufscc,16,743.212000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.16:46:48
wiki_talk_en,2987536,24981163,ufscc,16,131.226000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.16:46:51
youtube-links,1138500,4942297,ufscc,16,45.459000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.16:46:51
baidu,2141301,17794839,tarjan,1,538.848000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.16:46:53
-bakery.6,11845035,40400559,tarjan,1,886.178000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.16:46:55
-cambridge.6,3354295,9483191,tarjan,1,152.095000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.16:46:56
dbpedia,3966925,13820853,tarjan,1,261.971000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.16:46:57
dbpedia-link,18268993,172183984,tarjan,1,36923.083000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.16:47:40
-leader-filters.7,26302351,91692858,tarjan,1,969.093000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.16:47:45
livej,4847571,68993773,tarjan,1,2369.806000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.16:47:50
patent,3774768,16518948,tarjan,1,11340.894000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.16:48:02
pokec,1632804,30622564,tarjan,1,1132.773000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.16:48:04
random,10000001,100000000,tarjan,1,40354.016000,-1,-1,-1,877,-1,876,0,0,2019-11-08.16:48:48
rmat,9999994,100000000,tarjan,1,37105.208000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.16:49:30
ssca2,1048577,157877986,tarjan,1,869.449000,-1,-1,-1,31,-1,29,1,0,2019-11-08.16:49:35
wiki_link_en,12150977,378142420,tarjan,1,6943.028000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.16:49:53
wiki-links,5710993,130160392,tarjan,1,17693.903000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.16:50:15
wiki_talk_en,2987536,24981163,tarjan,1,427.496000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.16:50:19
youtube-links,1138500,4942297,tarjan,1,184.818000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.16:50:19
baidu,2141301,17794839,fasttrim,1,100.306000,598975,-1,598975,0,598975,0,0,0,2019-11-08.16:50:20
-bakery.6,11845035,40400559,fasttrim,1,490.534000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.16:50:22
-cambridge.6,3354295,9483191,fasttrim,1,148.552000,8412,-1,8412,0,8412,0,0,0,2019-11-08.16:50:23
dbpedia,3966925,13820853,fasttrim,1,141.935000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.16:50:23
dbpedia-link,18268993,172183984,fasttrim,1,1109.556000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.16:50:31
-leader-filters.7,26302351,91692858,fasttrim,1,798.811000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.16:50:35
livej,4847571,68993773,fasttrim,1,408.230000,592952,-1,592952,0,592952,0,0,0,2019-11-08.16:50:38
patent,3774768,16518948,fasttrim,1,1345.850000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.16:50:40
pokec,1632804,30622564,fasttrim,1,125.879000,212042,-1,212042,0,212042,0,0,0,2019-11-08.16:50:41
random,10000001,100000000,fasttrim,1,1289.969000,455,-1,455,0,455,0,0,0,2019-11-08.16:50:47
rmat,9999994,100000000,fasttrim,1,1112.566000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.16:50:52
ssca2,1048577,157877986,fasttrim,1,124.272000,11,-1,11,0,11,0,0,0,2019-11-08.16:50:57
wiki_link_en,12150977,378142420,fasttrim,1,950.010000,37102,-1,37102,0,37102,0,0,0,2019-11-08.16:51:09
wiki-links,5710993,130160392,fasttrim,1,454.097000,7415,-1,7415,0,7415,0,0,0,2019-11-08.16:51:14
wiki_talk_en,2987536,24981163,fasttrim,1,43.612000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.16:51:16
youtube-links,1138500,4942297,fasttrim,1,38.809000,600414,-1,600414,0,600414,0,0,0,2019-11-08.16:51:17
baidu,2141301,17794839,trim,1,184.658000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.16:51:18
-bakery.6,11845035,40400559,trim,1,3188.907000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.16:51:23
-cambridge.6,3354295,9483191,trim,1,861.001000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.16:51:24
dbpedia,3966925,13820853,trim,1,3253.819000,1437127,116,1437127,1437127,1437127,1437127,0,0,2019-11-08.16:51:28
dbpedia-link,18268993,172183984,trim,1,950.148000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.16:51:35
-leader-filters.7,26302351,91692858,trim,1,3882.588000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.16:51:43
livej,4847571,68993773,trim,1,551.938000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.16:51:45
patent,3774768,16518948,trim,1,604.656000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.16:51:47
pokec,1632804,30622564,trim,1,99.764000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.16:51:48
random,10000001,100000000,trim,1,365.249000,455,2,455,455,455,455,0,0,2019-11-08.16:51:53
rmat,9999994,100000000,trim,1,1025.411000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.16:51:58
ssca2,1048577,157877986,trim,1,46.736000,11,2,11,11,11,11,0,0,2019-11-08.16:52:02
wiki_link_en,12150977,378142420,trim,1,704.038000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.16:52:14
wiki-links,5710993,130160392,trim,1,390.261000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.16:52:19
wiki_talk_en,2987536,24981163,trim,1,51.488000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.16:52:22
youtube-links,1138500,4942297,trim,1,37.249000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.16:52:22
baidu,2141301,17794839,ufscc,1,1062.621000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.16:52:24
-bakery.6,11845035,40400559,ufscc,1,2534.947000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.16:52:28
-cambridge.6,3354295,9483191,ufscc,1,588.336000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.16:52:29
dbpedia,3966925,13820853,ufscc,1,573.583000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.16:52:30
dbpedia-link,18268993,172183984,ufscc,1,10858.546000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.16:52:47
-leader-filters.7,26302351,91692858,ufscc,1,1851.522000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.16:52:53
livej,4847571,68993773,ufscc,1,5667.633000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.16:53:01
patent,3774768,16518948,ufscc,1,1341.844000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.16:53:03
pokec,1632804,30622564,ufscc,1,2760.664000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.16:53:07
random,10000001,100000000,ufscc,1,18259.451000,-1,-1,-1,877,-1,876,0,0,2019-11-08.16:53:29
rmat,9999994,100000000,ufscc,1,15473.441000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.16:53:49
ssca2,1048577,157877986,ufscc,1,2631.108000,-1,-1,-1,31,-1,29,1,0,2019-11-08.16:53:56
wiki_link_en,12150977,378142420,ufscc,1,17406.258000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.16:54:24
wiki-links,5710993,130160392,ufscc,1,8687.942000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.16:54:37
wiki_talk_en,2987536,24981163,ufscc,1,997.684000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.16:54:41
youtube-links,1138500,4942297,ufscc,1,427.566000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.16:54:42
baidu,2141301,17794839,fasttrim,2,52.902000,598975,-1,598975,0,598975,0,0,0,2019-11-08.16:54:42
-bakery.6,11845035,40400559,fasttrim,2,293.719000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.16:54:44
-cambridge.6,3354295,9483191,fasttrim,2,76.516000,8412,-1,8412,0,8412,0,0,0,2019-11-08.16:54:45
dbpedia,3966925,13820853,fasttrim,2,75.588000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.16:54:46
dbpedia-link,18268993,172183984,fasttrim,2,613.703000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.16:54:52
-leader-filters.7,26302351,91692858,fasttrim,2,987.983000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.16:54:57
livej,4847571,68993773,fasttrim,2,220.299000,592952,-1,592952,0,592952,0,0,0,2019-11-08.16:54:59
patent,3774768,16518948,fasttrim,2,709.643000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.16:55:00
pokec,1632804,30622564,fasttrim,2,64.871000,212042,-1,212042,0,212042,0,0,0,2019-11-08.16:55:02
random,10000001,100000000,fasttrim,2,652.266000,455,-1,455,0,455,0,0,0,2019-11-08.16:55:06
rmat,9999994,100000000,fasttrim,2,576.983000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.16:55:11
ssca2,1048577,157877986,fasttrim,2,72.785000,11,-1,11,0,11,0,0,0,2019-11-08.16:55:15
wiki_link_en,12150977,378142420,fasttrim,2,476.457000,37102,-1,37102,0,37102,0,0,0,2019-11-08.16:55:27
wiki-links,5710993,130160392,fasttrim,2,235.428000,7415,-1,7415,0,7415,0,0,0,2019-11-08.16:55:31
wiki_talk_en,2987536,24981163,fasttrim,2,22.907000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.16:55:34
youtube-links,1138500,4942297,fasttrim,2,21.485000,600414,-1,600414,0,600414,0,0,0,2019-11-08.16:55:34
baidu,2141301,17794839,trim,2,102.789000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.16:55:35
-bakery.6,11845035,40400559,trim,2,1926.791000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.16:55:39
-cambridge.6,3354295,9483191,trim,2,558.448000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.16:55:40
dbpedia,3966925,13820853,trim,2,1823.235000,1437127,114,1437127,1437127,1437127,1437127,0,0,2019-11-08.16:55:42
dbpedia-link,18268993,172183984,trim,2,531.788000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.16:55:48
-leader-filters.7,26302351,91692858,trim,2,2662.156000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.16:55:54
livej,4847571,68993773,trim,2,299.004000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.16:55:57
patent,3774768,16518948,trim,2,328.192000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.16:55:58
pokec,1632804,30622564,trim,2,59.339000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.16:55:59
random,10000001,100000000,trim,2,194.904000,455,2,455,455,455,455,0,0,2019-11-08.16:56:03
rmat,9999994,100000000,trim,2,530.609000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.16:56:08
ssca2,1048577,157877986,trim,2,23.033000,11,2,11,11,11,11,0,0,2019-11-08.16:56:12
wiki_link_en,12150977,378142420,trim,2,407.519000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.16:56:23
wiki-links,5710993,130160392,trim,2,215.973000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.16:56:28
wiki_talk_en,2987536,24981163,trim,2,33.440000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.16:56:31
youtube-links,1138500,4942297,trim,2,21.456000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.16:56:31
baidu,2141301,17794839,ufscc,2,552.433000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.16:56:32
-bakery.6,11845035,40400559,ufscc,2,1548.302000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.16:56:35
-cambridge.6,3354295,9483191,ufscc,2,282.673000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.16:56:36
dbpedia,3966925,13820853,ufscc,2,298.642000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.16:56:37
dbpedia-link,18268993,172183984,ufscc,2,5793.452000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.16:56:49
-leader-filters.7,26302351,91692858,ufscc,2,1070.343000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.16:56:53
livej,4847571,68993773,ufscc,2,3131.468000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.16:56:58
patent,3774768,16518948,ufscc,2,673.641000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.16:57:00
pokec,1632804,30622564,ufscc,2,1494.302000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.16:57:02
random,10000001,100000000,ufscc,2,9553.745000,-1,-1,-1,877,-1,876,0,0,2019-11-08.16:57:16
rmat,9999994,100000000,ufscc,2,8902.060000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.16:57:29
ssca2,1048577,157877986,ufscc,2,1457.929000,-1,-1,-1,31,-1,29,1,0,2019-11-08.16:57:35
wiki_link_en,12150977,378142420,ufscc,2,9578.162000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.16:57:55
wiki-links,5710993,130160392,ufscc,2,4623.789000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.16:58:04
wiki_talk_en,2987536,24981163,ufscc,2,546.617000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.16:58:07
youtube-links,1138500,4942297,ufscc,2,226.974000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.16:58:08
baidu,2141301,17794839,fasttrim,4,28.652000,598975,-1,598975,0,598975,0,0,0,2019-11-08.16:58:08
-bakery.6,11845035,40400559,fasttrim,4,161.047000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.16:58:10
-cambridge.6,3354295,9483191,fasttrim,4,42.349000,8412,-1,8412,0,8412,0,0,0,2019-11-08.16:58:11
dbpedia,3966925,13820853,fasttrim,4,42.257000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.16:58:11
dbpedia-link,18268993,172183984,fasttrim,4,335.318000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.16:58:17
-leader-filters.7,26302351,91692858,fasttrim,4,396.684000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.16:58:21
livej,4847571,68993773,fasttrim,4,120.306000,592952,-1,592952,0,592952,0,0,0,2019-11-08.16:58:23
patent,3774768,16518948,fasttrim,4,375.389000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.16:58:25
pokec,1632804,30622564,fasttrim,4,28.224000,212042,-1,212042,0,212042,0,0,0,2019-11-08.16:58:26
random,10000001,100000000,fasttrim,4,347.016000,455,-1,455,0,455,0,0,0,2019-11-08.16:58:30
rmat,9999994,100000000,fasttrim,4,305.081000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.16:58:34
ssca2,1048577,157877986,fasttrim,4,36.754000,11,-1,11,0,11,0,0,0,2019-11-08.16:58:38
wiki_link_en,12150977,378142420,fasttrim,4,259.974000,37102,-1,37102,0,37102,0,0,0,2019-11-08.16:58:49
wiki-links,5710993,130160392,fasttrim,4,123.426000,7415,-1,7415,0,7415,0,0,0,2019-11-08.16:58:54
wiki_talk_en,2987536,24981163,fasttrim,4,12.247000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.16:58:56
youtube-links,1138500,4942297,fasttrim,4,12.422000,600414,-1,600414,0,600414,0,0,0,2019-11-08.16:58:57
baidu,2141301,17794839,trim,4,58.128000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.16:58:57
-bakery.6,11845035,40400559,trim,4,1166.501000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.16:59:00
-cambridge.6,3354295,9483191,trim,4,327.401000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.16:59:01
dbpedia,3966925,13820853,trim,4,948.955000,1437127,111,1437127,1437127,1437127,1437127,0,0,2019-11-08.16:59:02
dbpedia-link,18268993,172183984,trim,4,309.681000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.16:59:08
-leader-filters.7,26302351,91692858,trim,4,1672.529000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.16:59:13
livej,4847571,68993773,trim,4,178.716000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.16:59:16
patent,3774768,16518948,trim,4,175.611000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.16:59:17
pokec,1632804,30622564,trim,4,36.953000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.16:59:18
random,10000001,100000000,trim,4,118.942000,455,2,455,455,455,455,0,0,2019-11-08.16:59:22
rmat,9999994,100000000,trim,4,297.417000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.16:59:26
ssca2,1048577,157877986,trim,4,12.912000,11,2,11,11,11,11,0,0,2019-11-08.16:59:30
wiki_link_en,12150977,378142420,trim,4,236.742000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.16:59:41
wiki-links,5710993,130160392,trim,4,123.825000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.16:59:45
wiki_talk_en,2987536,24981163,trim,4,20.554000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.16:59:48
youtube-links,1138500,4942297,trim,4,12.157000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.16:59:48
baidu,2141301,17794839,ufscc,4,315.583000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.16:59:49
-bakery.6,11845035,40400559,ufscc,4,836.465000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.16:59:52
-cambridge.6,3354295,9483191,ufscc,4,159.381000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.16:59:52
dbpedia,3966925,13820853,ufscc,4,161.467000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.16:59:53
dbpedia-link,18268993,172183984,ufscc,4,3471.752000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.17:00:02
-leader-filters.7,26302351,91692858,ufscc,4,635.286000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.17:00:06
livej,4847571,68993773,ufscc,4,1865.168000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.17:00:11
patent,3774768,16518948,ufscc,4,354.959000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.17:00:12
pokec,1632804,30622564,ufscc,4,775.028000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.17:00:13
random,10000001,100000000,ufscc,4,5942.986000,-1,-1,-1,877,-1,876,0,0,2019-11-08.17:00:23
rmat,9999994,100000000,ufscc,4,4657.904000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.17:00:32
ssca2,1048577,157877986,ufscc,4,814.910000,-1,-1,-1,31,-1,29,1,0,2019-11-08.17:00:37
wiki_link_en,12150977,378142420,ufscc,4,5139.456000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.17:00:53
wiki-links,5710993,130160392,ufscc,4,2511.146000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.17:00:59
wiki_talk_en,2987536,24981163,ufscc,4,304.851000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.17:01:02
youtube-links,1138500,4942297,ufscc,4,139.975000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.17:01:02
baidu,2141301,17794839,fasttrim,6,31.567000,598975,-1,598975,0,598975,0,0,0,2019-11-08.17:01:03
-bakery.6,11845035,40400559,fasttrim,6,119.858000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.17:01:05
-cambridge.6,3354295,9483191,fasttrim,6,32.644000,8412,-1,8412,0,8412,0,0,0,2019-11-08.17:01:05
dbpedia,3966925,13820853,fasttrim,6,49.951000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.17:01:06
dbpedia-link,18268993,172183984,fasttrim,6,260.449000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.17:01:12
-leader-filters.7,26302351,91692858,fasttrim,6,282.931000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.17:01:16
livej,4847571,68993773,fasttrim,6,86.381000,592952,-1,592952,0,592952,0,0,0,2019-11-08.17:01:18
patent,3774768,16518948,fasttrim,6,281.935000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.17:01:19
pokec,1632804,30622564,fasttrim,6,23.182000,212042,-1,212042,0,212042,0,0,0,2019-11-08.17:01:20
random,10000001,100000000,fasttrim,6,255.245000,455,-1,455,0,455,0,0,0,2019-11-08.17:01:24
rmat,9999994,100000000,fasttrim,6,232.010000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.17:01:28
ssca2,1048577,157877986,fasttrim,6,28.829000,11,-1,11,0,11,0,0,0,2019-11-08.17:01:33
wiki_link_en,12150977,378142420,fasttrim,6,223.852000,37102,-1,37102,0,37102,0,0,0,2019-11-08.17:01:43
wiki-links,5710993,130160392,fasttrim,6,99.300000,7415,-1,7415,0,7415,0,0,0,2019-11-08.17:01:48
wiki_talk_en,2987536,24981163,fasttrim,6,10.274000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.17:01:50
youtube-links,1138500,4942297,fasttrim,6,10.573000,600414,-1,600414,0,600414,0,0,0,2019-11-08.17:01:50
baidu,2141301,17794839,trim,6,45.039000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.17:01:51
-bakery.6,11845035,40400559,trim,6,956.484000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.17:01:54
-cambridge.6,3354295,9483191,trim,6,310.329000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.17:01:55
dbpedia,3966925,13820853,trim,6,735.450000,1437127,114,1437127,1437127,1437127,1437127,0,0,2019-11-08.17:01:56
dbpedia-link,18268993,172183984,trim,6,238.130000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.17:02:02
-leader-filters.7,26302351,91692858,trim,6,1500.801000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.17:02:07
livej,4847571,68993773,trim,6,146.440000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.17:02:09
patent,3774768,16518948,trim,6,136.153000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.17:02:10
pokec,1632804,30622564,trim,6,31.602000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.17:02:11
random,10000001,100000000,trim,6,85.067000,455,2,455,455,455,455,0,0,2019-11-08.17:02:15
rmat,9999994,100000000,trim,6,233.861000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.17:02:19
ssca2,1048577,157877986,trim,6,9.877000,11,2,11,11,11,11,0,0,2019-11-08.17:02:23
wiki_link_en,12150977,378142420,trim,6,198.495000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.17:02:34
wiki-links,5710993,130160392,trim,6,95.574000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.17:02:38
wiki_talk_en,2987536,24981163,trim,6,20.448000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.17:02:41
youtube-links,1138500,4942297,trim,6,10.803000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.17:02:41
baidu,2141301,17794839,ufscc,6,214.460000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.17:02:42
-bakery.6,11845035,40400559,ufscc,6,773.526000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.17:02:44
-cambridge.6,3354295,9483191,ufscc,6,128.916000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.17:02:45
dbpedia,3966925,13820853,ufscc,6,121.201000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.17:02:46
dbpedia-link,18268993,172183984,ufscc,6,2210.606000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.17:02:54
-leader-filters.7,26302351,91692858,ufscc,6,517.711000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.17:02:57
livej,4847571,68993773,ufscc,6,1190.279000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.17:03:01
patent,3774768,16518948,ufscc,6,250.622000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.17:03:02
pokec,1632804,30622564,ufscc,6,580.008000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.17:03:03
random,10000001,100000000,ufscc,6,4210.986000,-1,-1,-1,877,-1,876,0,0,2019-11-08.17:03:12
rmat,9999994,100000000,ufscc,6,3443.164000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.17:03:19
ssca2,1048577,157877986,ufscc,6,578.066000,-1,-1,-1,31,-1,29,1,0,2019-11-08.17:03:24
wiki_link_en,12150977,378142420,ufscc,6,3489.573000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.17:03:38
wiki-links,5710993,130160392,ufscc,6,1805.916000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.17:03:44
wiki_talk_en,2987536,24981163,ufscc,6,236.450000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.17:03:47
youtube-links,1138500,4942297,ufscc,6,100.355000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.17:03:47
baidu,2141301,17794839,fasttrim,8,26.527000,598975,-1,598975,0,598975,0,0,0,2019-11-08.17:03:48
-bakery.6,11845035,40400559,fasttrim,8,99.433000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.17:03:49
-cambridge.6,3354295,9483191,fasttrim,8,26.815000,8412,-1,8412,0,8412,0,0,0,2019-11-08.17:03:50
dbpedia,3966925,13820853,fasttrim,8,44.539000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.17:03:51
dbpedia-link,18268993,172183984,fasttrim,8,224.800000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.17:03:57
-leader-filters.7,26302351,91692858,fasttrim,8,273.549000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.17:04:00
livej,4847571,68993773,fasttrim,8,74.320000,592952,-1,592952,0,592952,0,0,0,2019-11-08.17:04:03
patent,3774768,16518948,fasttrim,8,231.814000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.17:04:04
pokec,1632804,30622564,fasttrim,8,19.146000,212042,-1,212042,0,212042,0,0,0,2019-11-08.17:04:05
random,10000001,100000000,fasttrim,8,209.046000,455,-1,455,0,455,0,0,0,2019-11-08.17:04:09
