model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
pokec,1632804,30622564,fasttrim,2,63.619000,212042,-1,212042,0,212042,0,0,0,2019-11-08.13:03:30
random,10000001,100000000,fasttrim,2,660.265000,455,-1,455,0,455,0,0,0,2019-11-08.13:03:34
rmat,9999994,100000000,fasttrim,2,585.482000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.13:03:39
ssca2,1048577,157877986,fasttrim,2,64.896000,11,-1,11,0,11,0,0,0,2019-11-08.13:03:43
wiki_link_en,12150977,378142420,fasttrim,2,492.372000,37102,-1,37102,0,37102,0,0,0,2019-11-08.13:03:54
wiki-links,5710993,130160392,fasttrim,2,244.579000,7415,-1,7415,0,7415,0,0,0,2019-11-08.13:03:59
wiki_talk_en,2987536,24981163,fasttrim,2,26.409000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.13:04:02
youtube-links,1138500,4942297,fasttrim,2,21.383000,600414,-1,600414,0,600414,0,0,0,2019-11-08.13:04:02
baidu,2141301,17794839,trim,2,100.525000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.13:04:03
-bakery.6,11845035,40400559,trim,2,1876.338000,2636196,46,2636196,2636196,2636196,2636196,0,0,2019-11-08.13:04:06
-cambridge.6,3354295,9483191,trim,2,545.835000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.13:04:07
dbpedia,3966925,13820853,trim,2,1841.115000,1437127,115,1437127,1437127,1437127,1437127,0,0,2019-11-08.13:04:10
dbpedia-link,18268993,172183984,trim,2,535.469000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.13:04:16
-leader-filters.7,26302351,91692858,trim,2,2630.062000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.13:04:22
livej,4847571,68993773,trim,2,301.798000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.13:04:25
patent,3774768,16518948,trim,2,326.567000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.13:04:26
pokec,1632804,30622564,trim,2,59.384000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.13:04:27
random,10000001,100000000,trim,2,194.209000,455,2,455,455,455,455,0,0,2019-11-08.13:04:31
