model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
dbpedia,3966925,13820853,trim,2,1382.528000,1437127,116,1437127,149432120,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:41
er-1m-8m,1000000,8000000,trim,2,13.153000,345,3,345,1581878,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:42
leader_filters.7,26302351,91692858,trim,2,2536.368000,26302351,73,26302351,225575258,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:49
livej,4847571,68993773,trim,2,285.996000,576074,8,576074,17338288,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:54
patent,6009555,16518948,trim,2,78.803000,6009552,5,6009552,8398875,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:56
pokec,1632804,30622564,trim,2,85.162000,212042,5,212042,3588954,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:58
rmat-1m-8m,999760,7810950,trim,2,8055.434000,999760,6869,999760,391680343,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:22:06
ssca2,1048577,157877986,trim,2,23.510000,11,2,11,1069047,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:22:15
wiki-links,5710993,130160392,trim,2,209.234000,7415,4,7415,11536605,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:22:24
wikitalk,2394385,5021410,trim,2,14.685000,2262385,5,2262385,370347,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:22:25
wiki_talk_en,2987536,24981163,trim,2,35.473000,2293679,5,2293679,1779273,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:22:27
ba-1m-8m,1000000,7999964,ac4trim,2,93.479000,1000000,-1,1000000,5216100,0,0,0,0,0,4096,65,100,100,2021-06-09.15:22:28
baidu,2141301,17794839,ac4trim,2,54.947000,597244,-1,597244,2465989,0,0,0,0,0,4096,345,100,100,2021-06-09.15:22:29
bakery.6,11845035,40400559,ac4trim,2,7356.857000,2636196,-1,2636196,4743414,0,0,0,0,0,4096,21,100,100,2021-06-09.15:22:39
cambridge.6,3354295,9483191,ac4trim,2,10.966000,8412,-1,8412,9855,0,0,0,0,0,4096,17,100,100,2021-06-09.15:22:39
dbpedia,3966925,13820853,ac4trim,2,77.835000,1437127,-1,1437127,3172648,0,0,0,0,0,4096,16176,100,100,2021-06-09.15:22:40
er-1m-8m,1000000,8000000,ac4trim,2,8.583000,345,-1,345,1705,0,0,0,0,0,4096,1,100,100,2021-06-09.15:22:41
leader_filters.7,26302351,91692858,ac4trim,2,637.872000,26302351,-1,26302351,45929483,0,0,0,0,0,4096,16,100,100,2021-06-09.15:22:47
livej,4847571,68993773,ac4trim,2,205.967000,576074,-1,576074,1072074,0,0,0,0,0,4096,274,100,100,2021-06-09.15:22:51
patent,6009555,16518948,ac4trim,2,322.204000,6009552,-1,6009552,9277411,0,0,0,0,0,4096,109,100,100,2021-06-09.15:22:53
pokec,1632804,30622564,ac4trim,2,821.445000,212042,-1,212042,513657,0,0,0,0,0,4096,34,100,100,2021-06-09.15:22:56
rmat-1m-8m,999760,7810950,ac4trim,2,78.959000,999760,-1,999760,7473709,0,0,0,0,0,4096,319,100,100,2021-06-09.15:22:56
ssca2,1048577,157877986,ac4trim,2,1596.424000,11,-1,11,18,0,0,0,0,0,4096,1,100,100,2021-06-09.15:23:07
wiki-links,5710993,130160392,ac4trim,2,8952.903000,7415,-1,7415,40555,0,0,0,0,0,4096,549,100,100,2021-06-09.15:23:25
wikitalk,2394385,5021410,ac4trim,2,25.452000,2262385,-1,2262385,1922727,0,0,0,0,0,4096,33,100,100,2021-06-09.15:23:25
wiki_talk_en,2987536,24981163,ac4trim,2,913.125000,2293679,-1,2293679,2457670,0,0,0,0,0,4096,84,100,100,2021-06-09.15:23:29
ba-1m-8m,1000000,7999964,fasttrim,4,210.119000,1000000,-1,1000000,6382019,0,0,0,0,0,4096,29,100,100,2021-06-09.15:23:29
baidu,2141301,17794839,fasttrim,4,32.953000,597244,-1,597244,528170,0,0,0,0,0,4096,110,100,100,2021-06-09.15:23:30
bakery.6,11845035,40400559,fasttrim,4,199.062000,2636196,-1,2636196,4567715,0,0,0,0,0,4096,50,100,100,2021-06-09.15:23:32
cambridge.6,3354295,9483191,fasttrim,4,53.575000,8412,-1,8412,853689,0,0,0,0,0,4096,7,100,100,2021-06-09.15:23:33
dbpedia,3966925,13820853,fasttrim,4,50.304000,1437127,-1,1437127,1299763,0,0,0,0,0,4096,587,100,100,2021-06-09.15:23:34
er-1m-8m,1000000,8000000,fasttrim,4,22.617000,345,-1,345,262159,0,0,0,0,0,4096,1,100,100,2021-06-09.15:23:34
leader_filters.7,26302351,91692858,fasttrim,4,266.748000,26302351,-1,26302351,23106923,0,0,0,0,0,4096,85,100,100,2021-06-09.15:23:39
livej,4847571,68993773,fasttrim,4,165.379000,576074,-1,576074,1117997,0,0,0,0,0,4096,8,100,100,2021-06-09.15:23:43
patent,6009555,16518948,fasttrim,4,66.277000,6009552,-1,6009552,4174762,0,0,0,0,0,4096,55,100,100,2021-06-09.15:23:44
pokec,1632804,30622564,fasttrim,4,35.262000,212042,-1,212042,372488,0,0,0,0,0,4096,7,100,100,2021-06-09.15:23:46
rmat-1m-8m,999760,7810950,fasttrim,4,89.430000,999760,-1,999760,7486629,0,0,0,0,0,4096,452,100,100,2021-06-09.15:23:46
ssca2,1048577,157877986,fasttrim,4,75.993000,11,-1,11,270335,0,0,0,0,0,4096,1,100,100,2021-06-09.15:23:53
wiki-links,5710993,130160392,fasttrim,4,168.329000,7415,-1,7415,1450367,0,0,0,0,0,4096,549,100,100,2021-06-09.15:24:01
wikitalk,2394385,5021410,fasttrim,4,10.400000,2262385,-1,2262385,43392,0,0,0,0,0,4096,7,100,100,2021-06-09.15:24:01
wiki_talk_en,2987536,24981163,fasttrim,4,32.893000,2293679,-1,2293679,180496,0,0,0,0,0,4096,2,100,100,2021-06-09.15:24:03
ba-1m-8m,1000000,7999964,trim,4,67.023000,1000000,114,1000000,4881020,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:04
baidu,2141301,17794839,trim,4,61.375000,597244,9,597244,3653434,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:05
bakery.6,11845035,40400559,trim,4,1612.366000,2636196,47,2636196,119270798,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:08
cambridge.6,3354295,9483191,trim,4,434.308000,8412,65,8412,55223542,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:09
dbpedia,3966925,13820853,trim,4,935.183000,1437127,115,1437127,74263085,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:11
er-1m-8m,1000000,8000000,trim,4,9.964000,345,3,345,806735,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:11
leader_filters.7,26302351,91692858,trim,4,2095.178000,26302351,73,26302351,115370227,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:18
livej,4847571,68993773,trim,4,226.058000,576074,8,576074,8695588,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:22
patent,6009555,16518948,trim,4,53.496000,6009552,5,6009552,4258072,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:23
pokec,1632804,30622564,trim,4,46.317000,212042,5,212042,1807625,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:25
rmat-1m-8m,999760,7810950,trim,4,5870.223000,999760,6833,999760,201513835,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:31
ssca2,1048577,157877986,trim,4,61.315000,11,2,11,536574,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:38
wiki-links,5710993,130160392,trim,4,181.550000,7415,4,7415,5741466,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:45
wikitalk,2394385,5021410,trim,4,11.208000,2262385,5,2262385,190109,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:46
wiki_talk_en,2987536,24981163,trim,4,22.386000,2293679,5,2293679,924810,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:24:48
ba-1m-8m,1000000,7999964,ac4trim,4,72.728000,1000000,-1,1000000,4157540,0,0,0,0,0,4096,65,100,100,2021-06-09.15:24:48
baidu,2141301,17794839,ac4trim,4,32.518000,597244,-1,597244,1224971,0,0,0,0,0,4096,350,100,100,2021-06-09.15:24:49
bakery.6,11845035,40400559,ac4trim,4,5698.272000,2636196,-1,2636196,2423834,0,0,0,0,0,4096,21,100,100,2021-06-09.15:24:57
cambridge.6,3354295,9483191,ac4trim,4,8.341000,8412,-1,8412,4934,0,0,0,0,0,4096,17,100,100,2021-06-09.15:24:57
dbpedia,3966925,13820853,ac4trim,4,53.419000,1437127,-1,1437127,2430916,0,0,0,0,0,4096,16974,100,100,2021-06-09.15:24:58
er-1m-8m,1000000,8000000,ac4trim,4,5.658000,345,-1,345,811,0,0,0,0,0,4096,1,100,100,2021-06-09.15:24:59
leader_filters.7,26302351,91692858,ac4trim,4,8204.882000,26302351,-1,26302351,23164104,0,0,0,0,0,4096,16,100,100,2021-06-09.15:25:11
livej,4847571,68993773,ac4trim,4,977.420000,576074,-1,576074,581476,0,0,0,0,0,4096,274,100,100,2021-06-09.15:25:16
patent,6009555,16518948,ac4trim,4,227.946000,6009552,-1,6009552,5968386,0,0,0,0,0,4096,88,100,100,2021-06-09.15:25:17
pokec,1632804,30622564,ac4trim,4,18.522000,212042,-1,212042,270419,0,0,0,0,0,4096,34,100,100,2021-06-09.15:25:19
rmat-1m-8m,999760,7810950,ac4trim,4,78.667000,999760,-1,999760,7196585,0,0,0,0,0,4096,317,100,100,2021-06-09.15:25:19
ssca2,1048577,157877986,ac4trim,4,46.735000,11,-1,11,16,0,0,0,0,0,4096,1,100,100,2021-06-09.15:25:26
wiki-links,5710993,130160392,ac4trim,4,5646.766000,7415,-1,7415,40555,0,0,0,0,0,4096,549,100,100,2021-06-09.15:25:39
wikitalk,2394385,5021410,ac4trim,4,17.155000,2262385,-1,2262385,1100172,0,0,0,0,0,4096,33,100,100,2021-06-09.15:25:39
wiki_talk_en,2987536,24981163,ac4trim,4,66.729000,2293679,-1,2293679,1427648,0,0,0,0,0,4096,84,100,100,2021-06-09.15:25:41
ba-1m-8m,1000000,7999964,fasttrim,6,226.902000,1000000,-1,1000000,6369662,0,0,0,0,0,4096,28,100,100,2021-06-09.15:25:42
baidu,2141301,17794839,fasttrim,6,43.323000,597244,-1,597244,372284,0,0,0,0,0,4096,110,100,100,2021-06-09.15:25:43
bakery.6,11845035,40400559,fasttrim,6,197.334000,2636196,-1,2636196,3087740,0,0,0,0,0,4096,50,100,100,2021-06-09.15:25:45
cambridge.6,3354295,9483191,fasttrim,6,49.769000,8412,-1,8412,603123,0,0,0,0,0,4096,7,100,100,2021-06-09.15:25:45
