model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,date
wiki_talk_en,2987536,24981163,trim,-1,71.463000,2611598,7,2611598,236152,2611598,1,2611598,0,0,32,2021-06-04.04:59:37
livej,4847571,68993773,ac4trim,-1,25.421000,576074,-1,576074,153476,0,0,0,0,0,32,2021-06-04.04:59:40
wiki_talk_en,2987536,24981163,ac4trim,-1,35.048000,2293679,-1,2293679,335827,0,0,0,0,0,32,2021-06-04.04:59:42
livej,4847571,68993773,fasttrim,-1,285.186000,576074,-1,576074,337147,0,0,0,0,0,64,2021-06-04.04:59:45
wiki_talk_en,2987536,24981163,fasttrim,-1,55.072000,2293679,-1,2293679,196606,0,0,0,0,0,64,2021-06-04.04:59:47
livej,4847571,68993773,trim,-1,328.389000,592952,8,592952,2422969,592952,1,592952,0,0,64,2021-06-04.04:59:50
wiki_talk_en,2987536,24981163,trim,-1,24.407000,2611598,7,2611598,238892,2611598,1,2611598,0,0,64,2021-06-04.04:59:52
livej,4847571,68993773,ac4trim,-1,24.261000,576074,-1,576074,160567,0,0,0,0,0,64,2021-06-04.04:59:55
wiki_talk_en,2987536,24981163,ac4trim,-1,75.465000,2293679,-1,2293679,342641,0,0,0,0,0,64,2021-06-04.04:59:57
livej,4847571,68993773,fasttrim,-1,166.188000,576074,-1,576074,386122,0,0,0,0,0,128,2021-06-04.05:00:00
wiki_talk_en,2987536,24981163,fasttrim,-1,25.110000,2293679,-1,2293679,205424,0,0,0,0,0,128,2021-06-04.05:00:02
livej,4847571,68993773,trim,-1,277.315000,592952,8,592952,2446781,592952,1,592952,0,0,128,2021-06-04.05:00:05
wiki_talk_en,2987536,24981163,trim,-1,17.770000,2611598,7,2611598,245129,2611598,1,2611598,0,0,128,2021-06-04.05:00:08
livej,4847571,68993773,ac4trim,-1,23.630000,576074,-1,576074,167117,0,0,0,0,0,128,2021-06-04.05:00:10
wiki_talk_en,2987536,24981163,ac4trim,-1,65.735000,2293679,-1,2293679,332202,0,0,0,0,0,128,2021-06-04.05:00:13
livej,4847571,68993773,fasttrim,-1,231.890000,576074,-1,576074,329578,0,0,0,0,0,256,2021-06-04.05:00:15
wiki_talk_en,2987536,24981163,fasttrim,-1,19.552000,2293679,-1,2293679,219922,0,0,0,0,0,256,2021-06-04.05:00:17
livej,4847571,68993773,trim,-1,228.564000,592952,8,592952,2487498,592952,1,592952,0,0,256,2021-06-04.05:00:20
wiki_talk_en,2987536,24981163,trim,-1,35.107000,2611598,7,2611598,249101,2611598,1,2611598,0,0,256,2021-06-04.05:00:23
livej,4847571,68993773,ac4trim,-1,26.712000,576074,-1,576074,179541,0,0,0,0,0,256,2021-06-04.05:00:25
wiki_talk_en,2987536,24981163,ac4trim,-1,59.497000,2293679,-1,2293679,325223,0,0,0,0,0,256,2021-06-04.05:00:28
livej,4847571,68993773,fasttrim,-1,197.458000,576074,-1,576074,373535,0,0,0,0,0,512,2021-06-04.05:00:30
wiki_talk_en,2987536,24981163,fasttrim,-1,26.952000,2293679,-1,2293679,207724,0,0,0,0,0,512,2021-06-04.05:00:33
livej,4847571,68993773,trim,-1,119.911000,592952,8,592952,2599482,592952,1,592952,0,0,512,2021-06-04.05:00:35
wiki_talk_en,2987536,24981163,trim,-1,30.012000,2611598,7,2611598,261027,2611598,1,2611598,0,0,512,2021-06-04.05:00:38
livej,4847571,68993773,ac4trim,-1,21.034000,576074,-1,576074,182497,0,0,0,0,0,512,2021-06-04.05:00:40
wiki_talk_en,2987536,24981163,ac4trim,-1,26.205000,2293679,-1,2293679,341109,0,0,0,0,0,512,2021-06-04.05:00:43
livej,4847571,68993773,fasttrim,-1,158.326000,576074,-1,576074,390358,0,0,0,0,0,1024,2021-06-04.05:00:46
wiki_talk_en,2987536,24981163,fasttrim,-1,17.176000,2293679,-1,2293679,232311,0,0,0,0,0,1024,2021-06-04.05:00:48
livej,4847571,68993773,trim,-1,125.821000,592952,8,592952,2531414,592952,1,592952,0,0,1024,2021-06-04.05:00:51
wiki_talk_en,2987536,24981163,trim,-1,28.418000,2611598,7,2611598,267379,2611598,1,2611598,0,0,1024,2021-06-04.05:00:53
livej,4847571,68993773,ac4trim,-1,24.756000,576074,-1,576074,192035,0,0,0,0,0,1024,2021-06-04.05:00:55
wiki_talk_en,2987536,24981163,ac4trim,-1,30.330000,2293679,-1,2293679,342329,0,0,0,0,0,1024,2021-06-04.05:00:58
livej,4847571,68993773,fasttrim,-1,141.212000,576074,-1,576074,384441,0,0,0,0,0,2048,2021-06-04.05:01:01
wiki_talk_en,2987536,24981163,fasttrim,-1,23.594000,2293679,-1,2293679,215861,0,0,0,0,0,2048,2021-06-04.05:01:03
livej,4847571,68993773,trim,-1,140.821000,592952,8,592952,2689744,592952,1,592952,0,0,2048,2021-06-04.05:01:06
wiki_talk_en,2987536,24981163,trim,-1,29.408000,2611598,7,2611598,289036,2611598,1,2611598,0,0,2048,2021-06-04.05:01:08
livej,4847571,68993773,ac4trim,-1,20.036000,576074,-1,576074,181908,0,0,0,0,0,2048,2021-06-04.05:01:11
wiki_talk_en,2987536,24981163,ac4trim,-1,25.390000,2293679,-1,2293679,341725,0,0,0,0,0,2048,2021-06-04.05:01:13
livej,4847571,68993773,fasttrim,-1,163.750000,576074,-1,576074,335872,0,0,0,0,0,4096,2021-06-04.05:01:15
wiki_talk_en,2987536,24981163,fasttrim,-1,21.596000,2293679,-1,2293679,230432,0,0,0,0,0,4096,2021-06-04.05:01:18
livej,4847571,68993773,trim,-1,116.231000,592952,8,592952,2610522,592952,1,592952,0,0,4096,2021-06-04.05:01:21
wiki_talk_en,2987536,24981163,trim,-1,13.974000,2611598,6,2611598,248616,2611598,1,2611598,0,0,4096,2021-06-04.05:01:23
livej,4847571,68993773,ac4trim,-1,19.878000,576074,-1,576074,169130,0,0,0,0,0,4096,2021-06-04.05:01:26
wiki_talk_en,2987536,24981163,ac4trim,-1,44.945000,2293679,-1,2293679,324477,0,0,0,0,0,4096,2021-06-04.05:01:28
livej,4847571,68993773,fasttrim,-1,142.149000,576074,-1,576074,380025,0,0,0,0,0,8192,2021-06-04.05:01:30
wiki_talk_en,2987536,24981163,fasttrim,-1,15.588000,2293679,-1,2293679,230366,0,0,0,0,0,8192,2021-06-04.05:01:33
livej,4847571,68993773,trim,-1,164.498000,592952,8,592952,2656180,592952,1,592952,0,0,8192,2021-06-04.05:01:35
wiki_talk_en,2987536,24981163,trim,-1,30.637000,2611598,6,2611598,260713,2611598,1,2611598,0,0,8192,2021-06-04.05:01:38
